model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.695985,0.666667,f1,0.019915,0.003564,2.550867,0.019915,0.003564,2.550867,1,TRUE,2
XGBoost,0.694967,0.670347,f1,0.014528,0.004675,3.209401,0.014528,0.004675,3.209401,1,TRUE,9
CatBoost,0.692456,0.65765,f1,0.014216,0.003768,3.953189,0.014216,0.003768,3.953189,1,TRUE,5
NeuralNetTorch,0.686268,0.672199,f1,0.044583,0.024337,62.534235,0.044583,0.024337,62.534235,1,TRUE,10
LightGBMXT,0.68365,0.6543,f1,0.101088,0.036611,5.011299,0.101088,0.036611,5.011299,1,TRUE,1
WeightedEnsemble_L2,0.67975,0.680679,f1,0.152715,0.079178,91.654503,0.00406,0.004181,0.993277,2,TRUE,12
NeuralNetFastAI,0.676923,0.665625,f1,0.051563,0.036525,14.24081,0.051563,0.036525,14.24081,1,TRUE,8
LightGBMLarge,0.664471,0.660611,f1,0.003851,0.002127,4.172724,0.003851,0.002127,4.172724,1,TRUE,11
ExtraTreesGini,0.64886,0.614478,f1,0.406819,0.136834,2.774178,0.406819,0.136834,2.774178,1,TRUE,6
ExtraTreesEntr,0.64886,0.614478,f1,0.408829,0.17503,3.287283,0.408829,0.17503,3.287283,1,TRUE,7
RandomForestGini,0.64886,0.614478,f1,0.496756,0.130987,5.37907,0.496756,0.130987,5.37907,1,TRUE,3
RandomForestEntr,0.64886,0.614478,f1,0.580165,0.183239,7.994278,0.580165,0.183239,7.994278,1,TRUE,4
